"","SampleID","FacilityID","Facility.Type","UtmX83","UtmY83","Latitude83","Longitude83","QuarterQuarter","Section","Township","Range","Meridian","County","PermitNumber","ReceiptNumber","WellDepth","Sample.Date","Matrix","Sample.Reason","ResultID","MethodCode","ParamDescription","ResultValue","Qualifier","Units","FractionType","DetectionLimit"
"26",464509,703548,"Domestic Well",518630,4434515,40.06,-104.78,"SESW",9,"1 N","66 W","6","WELD                               ",220547,"0450998",NA,2002-11-22,"WATER","",71415116,"UnSpecified-Older data may not contain method info","TOLUENE",9,"","ug/L","",2
"27",464709,703698,"Domestic Well",519582,4436877,40.08,-104.77,"SWNW",3,"1 N","66 W","6","WELD                               ",35966,"9063815",748,2006-05-30,"WATER","",71614568,"UnSpecified-Older data may not contain method info","TOLUENE",1.2,"","ug/L","",1
"28",465057,703897,"Domestic Well",507670,4114363,37.17,-104.91,"C",NA,"33 S","76 W","","LAS ANIMAS                         ",213453,"",560,2004-03-10,"WATER","",71606742,"UnSpecified-Older data may not contain method info","o-XYLENE",3.4,"","ug/L","",2
"29",465057,703897,"Domestic Well",507670,4114363,37.17,-104.91,"C",NA,"33 S","76 W","","LAS ANIMAS                         ",213453,"",560,2004-03-10,"WATER","",71606740,"UnSpecified-Older data may not contain method info","TOLUENE",15,"","ug/L","",2
"30",465057,703897,"Domestic Well",507670,4114363,37.17,-104.91,"C",NA,"33 S","76 W","","LAS ANIMAS                         ",213453,"",560,2004-03-10,"WATER","",71606741,"UnSpecified-Older data may not contain method info","m-+p-XYLENE",6.8,"","ug/L","",2
"31",465057,703897,"Domestic Well",507670,4114363,37.17,-104.91,"C",NA,"33 S","76 W","","LAS ANIMAS                         ",213453,"",560,2004-03-10,"WATER","",71559332,"UnSpecified-Older data may not contain method info","BENZENE",13,"","ug/L","",1
"32",465088,703898,"Domestic Well",273015,4371891,39.46,-107.63,"NWNW",11,"7 S","92 W","6","GARFIELD                           ",209310,"",200,2006-02-08,"WATER","",71667385,"UnSpecified-Older data may not contain method info","TOLUENE",1.1,"","ug/L","",1
"33",465149,703899,"Domestic Well",272389,4371906,39.46,-107.64,"NENE",10,"7 S","92 W","6","GARFIELD                           ",NA,"",240,2006-02-07,"WATER","",71370151,"UnSpecified-Older data may not contain method info","o-XYLENE",4.7,"","ug/L","",1
"34",465577,703925,"Domestic Well",275411,4371168,39.46,-107.61,"NWSE",12,"7 S","92 W","6","GARFIELD                           ",244019,"",120,2006-02-07,"WATER","",71331370,"UnSpecified-Older data may not contain method info","BENZENE",1.2,"","ug/L","",0.5
"35",465577,703925,"Domestic Well",275411,4371168,39.46,-107.61,"NWSE",12,"7 S","92 W","6","GARFIELD                           ",244019,"",120,2006-02-07,"WATER","",71331398,"UnSpecified-Older data may not contain method info","TOLUENE",2.2,"","ug/L","",1
