"","facility_id","facility_type","permit_number","receipt_number","well_depth","matrix","sample_id","sample_date","benzene_ugl","toluene_ugl","ethylbenzene_ugl","mp_xylenes_ugl","o_xylene_ugl","tot_xylenes_ugl","methane_mgl","wattenberg"
"491",752379,"Ground Water","14101","9061869",81,"WATER",532006,2012-11-29,NA,NA,NA,NA,NA,NA,0.00403,TRUE
"492",752387,"Ground Water","234153","0476755",240,"WATER",532000,2012-10-29,NA,NA,NA,NA,NA,NA,0.00731,TRUE
"493",752408,"Ground Water","40034","0330590",66,"WATER",532387,2013-02-26,NA,NA,NA,NA,NA,NA,0.001,TRUE
"494",752409,"Ground Water","6926","3652011",45,"WATER",532389,2013-02-27,NA,NA,NA,NA,NA,NA,0.001,TRUE
"495",752410,"Ground Water","78524","9065512",NA,"WATER",532250,2013-02-26,NA,NA,NA,NA,NA,NA,0.0027,TRUE
"496",752411,"Ground Water","192675","0528607",40,"WATER",532393,2013-02-27,NA,NA,NA,NA,NA,NA,0.016,TRUE
"497",752412,"Ground Water",NA,NA,NA,"WATER",532391,2013-02-27,NA,NA,NA,NA,NA,NA,0.001,TRUE
"498",752413,"Ground Water","72814","9065297",NA,"WATER",532395,2012-12-19,NA,NA,NA,NA,NA,NA,0.001,TRUE
"499",752414,"Ground Water","103682","0025527",60,"WATER",532397,2012-12-19,NA,NA,NA,NA,NA,NA,0.12,TRUE
"500",752415,"Ground Water","251948","0512291",400,"WATER",532419,2013-03-01,NA,NA,NA,NA,NA,NA,0.0081,TRUE
"501",752416,"Ground Water","78522","9065511",NA,"WATER",532403,2012-02-02,NA,NA,NA,NA,NA,NA,0.00306,TRUE
"502",752417,"Ground Water","688","C620688",36,"WATER",532407,2012-03-21,NA,NA,NA,NA,NA,NA,8e-04,TRUE
"503",752418,"Ground Water","249625","0507379B",400,"WATER",532405,2012-03-08,NA,NA,NA,NA,NA,NA,0.00241,TRUE
"504",752419,"Ground Water","281138","3641366A",380,"WATER",532399,2013-01-22,NA,NA,NA,NA,NA,NA,0.001,TRUE
"505",752419,"Ground Water","281138","3641366A",380,"WATER",533800,2012-01-26,NA,NA,NA,NA,NA,NA,0.005,TRUE
"506",752419,"Ground Water","281138","3641366A",380,"WATER",533927,2013-07-02,NA,NA,NA,NA,NA,NA,0.001,TRUE
