"","SampleID","FacilityID","Facility.Type","UtmX83","UtmY83","Latitude83","Longitude83","QuarterQuarter","Section","Township","Range","Meridian","County","PermitNumber","ReceiptNumber","WellDepth","Sample.Date","Matrix","Sample.Reason","ResultID","MethodCode","ParamDescription","ResultValue","Qualifier","Units","FractionType","DetectionLimit"
"22",454408,703423,"Ground Water",263367,4121039,37.2,-107.66,"E2",12,"34 N","8 W","M","LA PLATA                           ",170121,"0352998 ",200,"8/12/2009 0:00:00","GAS","",71627987,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-61.95,"","per mil VPDB","",NA
"23",454410,703424,"Domestic Well",263981,4121205,37.2,-107.65,"SENE",12,"34 N","8 W","4","LA PLATA                           ",NA,"",NA,"1/10/2001 0:00:00","GAS","",71356198,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-77.25,"","per mil VPDB","",NA
"24",454412,703424,"Domestic Well",263981,4121205,37.2,-107.65,"SENE",12,"34 N","8 W","4","LA PLATA                           ",NA,"",NA,"8/13/2002 0:00:00","GAS","",71356197,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-77.37,"","per mil VPDB","",NA
"25",454414,703424,"Domestic Well",263981,4121205,37.2,-107.65,"SENE",12,"34 N","8 W","4","LA PLATA                           ",NA,"",NA,"8/3/2005 0:00:00","GAS","",71761544,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-76.19,"","per mil VPDB","",NA
"26",454416,703424,"Domestic Well",263981,4121205,37.2,-107.65,"SENE",12,"34 N","8 W","4","LA PLATA                           ",NA,"",NA,"7/2/2009 0:00:00","GAS","",71627966,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-76.71,"","per mil VPDB","",NA
"27",454424,703427,"Domestic Well",262474,4121312,37.2,-107.67,"W2",12,"34 N","8 W","4","LA PLATA                           ",NA,"",NA,"1/10/2001 0:00:00","GAS","",71356211,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-69.72,"","per mil VPDB","",NA
"28",454426,703427,"Domestic Well",262474,4121312,37.2,-107.67,"W2",12,"34 N","8 W","4","LA PLATA                           ",NA,"",NA,"7/30/2002 0:00:00","GAS","",71356212,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-69.32,"","per mil VPDB","",NA
"29",454464,703441,"Domestic Well",241052,4111400,37.11,-107.91,"SESE",10,"33 N","10 W","N","LA PLATA                           ",NA,"",186,"9/8/2000 0:00:00","GAS","",71356276,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-43.79,"","per mil VPDB","",NA
"30",454466,703441,"Domestic Well",241052,4111400,37.11,-107.91,"SESE",10,"33 N","10 W","N","LA PLATA                           ",NA,"",186,"10/13/2000 0:00:00","GAS","",71356278,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-43.52,"","per mil VPDB","",NA
"31",454470,703443,"Domestic Well",273563,4125035,37.24,-107.55,"SENW",5,"34 N","6 W","N","LA PLATA                           ",NA,"",200,"8/20/2000 0:00:00","GAS","",71356255,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-52.23,"","per mil VPDB","",NA
"32",454480,703445,"Domestic Well",261530,4131086,37.29,-107.69,"",13,"35 N","8 W","2","LA PLATA                           ",NA,"",NA,"8/29/2000 0:00:00","GAS","",71356228,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-65.33,"","per mil VPDB","",NA
"33",454483,703447,"Domestic Well",261747,4130031,37.28,-107.68,"",24,"35 N","8 W","2","LA PLATA                           ",NA,"",NA,"6/14/2000 0:00:00","GAS","",71356259,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-51.45,"","per mil VPDB","",NA
