"","facility_id","facility_type","utm_x83","utm_y83","permit_number","receipt_number","well_depth","matrix","sample_id","sample_date","methane","ethane","propane","methane_units","delta_13c_c1","d13c_units","fraction","origin","wattenberg"
"658",754049,"Domestic Well",517005,4432619,"238210","0485439",805,"GAS",542914,2015-02-12,50.65,0.08,3e-04,"MOL %",-72.34,"per mil",630.759651307597,"Microbial",""
"659",752690,"Ground Water",515927,4453383,"26277","9063201",360,"GAS",545019,2015-06-04,41.99,0.05,1e-04,"MOL %",-74.21,"per mil",838.12375249501,"Microbial",""
"660",706923,"Ground Water",263772,4121704,"205307",NA,NA,"GAS",546166,2015-09-17,12.42,0,0.01,"MOL %",-65.6,"per mil",1242,"Microbial",""
"661",754330,"Domestic Well",260594,4129592,"148392","0276860",224,"GAS",546156,2015-09-22,14.26,0,0.005,"MOL %",-58.27,"per mil",2852,"Microbial",""
"662",754048,"Domestic Well",516204,4434457,"92099","9065939",NA,"GAS",547897,2015-12-29,75.53,0.06,1e-04,"MOL %",-70.26,"per mil",1256.7387687188,"Microbial",""
"663",754527,"Domestic Well",518456,4434081,"67088","9065100",NA,"GAS",547907,2015-12-22,63.49,0.07,1e-04,"MOL %",-70.24,"per mil",905.706134094151,"Microbial",""
"664",754041,"Domestic Well",520145,4435820,"44495","9064401",809,"GAS",542996,2015-02-09,67.61,0.07,1e-04,"MOL %",-70.5,"per mil",964.479315263909,"Microbial",""
"665",754042,"Domestic Well",516015,4433374,"231319","0471200",745,"GAS",543002,2015-02-09,49.44,0.06,1e-04,"MOL %",-71.86,"per mil",822.628951747088,"Microbial",""
"666",754040,"Domestic Well",519435,4435083,"81971","9065648",800,"GAS",543020,2015-02-09,47.7,0.05,1e-04,"MOL %",-74.01,"per mil",952.095808383233,"Microbial",""
"667",754008,"Domestic Well",520520,4434408,"76928","9065434",912,"GAS",543034,2015-02-05,51.39,0.06,1e-04,"MOL %",-73.61,"per mil",855.074875207987,"Microbial",""
"668",754115,"Domestic Well",512721,4439550,"271324","3607156",480,"GAS",543096,2015-03-05,79.73,0.08,1e-04,"MOL %",-69.38,"per mil",995.380774032459,"Microbial",""
"669",754087,"Domestic Well",512532,4441411,"174861","0356500",600,"GAS",543112,2015-02-25,51.38,0.06,1e-04,"MOL %",-71.22,"per mil",854.908485856905,"Microbial",""
"670",754132,"Domestic Well",533678,4441479,"69058","9065168",NA,"GAS",543128,2015-03-16,74.12,0.06,1e-04,"MOL %",-72.84,"per mil",1233.27787021631,"Microbial",""
"671",754079,"Domestic Well",512983,4444852,"291979","3660048B",460,"GAS",543154,2015-02-24,49.15,0.06,3e-04,"MOL %",-71.63,"per mil",815.091210613599,"Microbial",""
"672",754113,"Domestic Well",523474,4442219,"109164","0108957B",NA,"GAS",543166,2015-03-09,58.42,0.06,1e-04,"MOL %",-73.1,"per mil",972.046589018303,"Microbial",""
"673",754073,"Domestic Well",514410,4440598,"158009","0315770",550,"GAS",543182,2015-02-19,53.49,0.07,1e-04,"MOL %",-70.35,"per mil",763.052781740371,"Microbial",""
"674",754193,"Domestic Well",519088,4440120,"60717","0518622",NA,"GAS",544180,2015-04-29,64.28,0.11,6e-04,"MOL %",-70.5,"per mil",581.19349005425,"Microbial",""
"675",754184,"Domestic Well",519673,4439136,"33236","9063672",698,"GAS",544192,2015-04-07,68.65,0.06,1e-04,"MOL %",-70.6,"per mil",1142.26289517471,"Microbial",""
"676",754348,"Domestic Well",519519,4433274,"243167","0496954",900,"GAS",545664,2015-09-09,52.67,0.08,1e-04,"MOL %",-71.57,"per mil",657.553058676654,"Microbial",""
"677",754349,"Domestic Well",519429,4434243,"82824","0295099",775,"GAS",545670,2015-09-09,44.57,0.05,1e-04,"MOL %",-72.78,"per mil",889.620758483034,"Microbial",""
