"","SampleID","FacilityID","Facility.Type","UtmX83","UtmY83","Latitude83","Longitude83","QuarterQuarter","Section","Township","Range","Meridian","County","PermitNumber","ReceiptNumber","WellDepth","Sample.Date","Matrix","Sample.Reason","ResultID","MethodCode","ParamDescription","ResultValue","Qualifier","Units","FractionType","DetectionLimit"
"89",473496,704990,"Domestic Well",601182,4449346,NA,NA,"NENE",36,"3 N","58 W","","MORGAN                             ",NA,"",-999,"6/21/2007 0:00:00","WATER","",71641899,"UnSpecified-Older data may not contain method info","BENZENE",3,"","ug/L","",1
"90",473498,704990,"Domestic Well",601182,4449346,NA,NA,"NENE",36,"3 N","58 W","","MORGAN                             ",NA,"",-999,"6/21/2007 0:00:00","WATER","",71730991,"UnSpecified-Older data may not contain method info","BENZENE",3,"","ug/L","",1
"91",473501,704990,"Domestic Well",601182,4449346,NA,NA,"NENE",36,"3 N","58 W","","MORGAN                             ",NA,"",-999,"8/27/2007 0:00:00","WATER","",71736364,"UnSpecified-Older data may not contain method info","BENZENE",2,"","ug/L","",1
"92",473503,704990,"Domestic Well",601182,4449346,NA,NA,"NENE",36,"3 N","58 W","","MORGAN                             ",NA,"",-999,"8/27/2007 0:00:00","WATER","",71469622,"UnSpecified-Older data may not contain method info","BENZENE",2,"","ug/L","",1
"93",473505,704990,"Domestic Well",601182,4449346,NA,NA,"NENE",36,"3 N","58 W","","MORGAN                             ",NA,"",-999,"9/25/2007 0:00:00","WATER","",71474767,"UnSpecified-Older data may not contain method info","BENZENE",2,"","ug/L","",1
"94",473507,704990,"Domestic Well",601182,4449346,NA,NA,"NENE",36,"3 N","58 W","","MORGAN                             ",NA,"",-999,"9/25/2007 0:00:00","WATER","",71638089,"UnSpecified-Older data may not contain method info","BENZENE",2,"","ug/L","",1
"95",473509,704990,"Domestic Well",601182,4449346,NA,NA,"NENE",36,"3 N","58 W","","MORGAN                             ",NA,"",-999,"11/7/2007 0:00:00","WATER","",71638099,"UnSpecified-Older data may not contain method info","BENZENE",2,"","ug/L","",1
"96",473545,705007,"Domestic Well",510862,4154566,NA,NA,"NESW",10,"29 S","67 W","6","HUERFANO                           ",267694,"",834,"11/10/2007 0:00:00","WATER","",71640383,"UnSpecified-Older data may not contain method info","TOLUENE",139,"","ug/L","",10
"97",473548,705007,"Domestic Well",510862,4154566,NA,NA,"NESW",10,"29 S","67 W","6","HUERFANO                           ",267694,"",834,"1/30/2008 0:00:00","WATER","",71731522,"UnSpecified-Older data may not contain method info","TOLUENE",64,"E","ug/L","",1
"98",473551,705007,"Domestic Well",510862,4154566,NA,NA,"NESW",10,"29 S","67 W","6","HUERFANO                           ",267694,"",834,"3/26/2008 0:00:00","WATER","",71470119,"UnSpecified-Older data may not contain method info","TOLUENE",65,"E","ug/L","",1
"99",473552,705007,"Domestic Well",510862,4154566,NA,NA,"NESW",10,"29 S","67 W","6","HUERFANO                           ",267694,"",834,"12/29/2008 0:00:00","WATER","",71640739,"UnSpecified-Older data may not contain method info","TOLUENE",4.3,"","ug/L","",1
"100",473553,705007,"Domestic Well",510862,4154566,NA,NA,"NESW",10,"29 S","67 W","6","HUERFANO                           ",267694,"",834,"12/29/2008 0:00:00","WATER","",71735087,"UnSpecified-Older data may not contain method info","TOLUENE",2.4,"","ug/L","",1
"101",473555,705007,"Domestic Well",510862,4154566,NA,NA,"NESW",10,"29 S","67 W","6","HUERFANO                           ",267694,"",834,"5/9/2009 0:00:00","WATER","",71471870,"UnSpecified-Older data may not contain method info","TOLUENE",2.32,"","ug/L","",0.5
"102",473577,705008,"Ground Water",510863,4152763,NA,NA,"NESE",15,"29 S","67 W","6","HUERFANO                           ",181278,"",323,"1/30/2008 0:00:00","WATER","",71374317,"UnSpecified-Older data may not contain method info","TOLUENE",1.4,"","ug/L","",1
"103",473637,705008,"Ground Water",510863,4152763,NA,NA,"NESE",15,"29 S","67 W","6","HUERFANO                           ",181278,"",323,"9/13/2010 0:00:00","WATER","",71718913,"UnSpecified-Older data may not contain method info","TOLUENE",1.2,"","ug/L","",1
"104",473667,705030,"Ground Water",543045,4414802,39.88,-104.49,"NWNE",13,"2 S","64 W","","ADAMS                              ",NA,"",NA,"6/13/2007 0:00:00","WATER","",71681346,"SW-846 method 8021 AROMATIC AND HALOGENATED VOLATI","TOLUENE",2.4,"","ug/L","",0.5
"105",473676,705037,"Ground Water",547908,4415469,39.88,-104.43,"NWSE",9,"2 S","63 W","6","ADAMS                              ",NA,"",NA,"6/12/2007 0:00:00","WATER","",71640475,"SW-846 method 8021 AROMATIC AND HALOGENATED VOLATI","BENZENE",0.74,"","ug/L","",0.5
"106",473688,705043,"Ground Water",543819,4422998,39.95,-104.48,"SWSW",18,"1 S","63 W","","ADAMS                              ",NA,"",NA,"6/12/2007 0:00:00","WATER","",71640572,"SW-846 method 8021 AROMATIC AND HALOGENATED VOLATI","TOLUENE",4.8,"","ug/L","",0.5
"107",474213,704203,"Domestic Well",271902,4372746,39.47,-107.65,"SWNE",3,"7 S","92 W","6","GARFIELD                           ",79730,"",110,"1/5/2006 0:00:00","WATER","",71737927,"UnSpecified-Older data may not contain method info","o-XYLENE",1.3,"","ug/L","",0.2
"108",474292,704221,"Domestic Well",273755,4372314,39.47,-107.63,"SWNE",2,"7 S","92 W","6","GARFIELD                           ",259960,"",300,"12/28/2004 0:00:00","WATER","",71771722,"UnSpecified-Older data may not contain method info","TOLUENE",270,"","ug/L","",2
"109",474294,704221,"Domestic Well",273755,4372314,39.47,-107.63,"SWNE",2,"7 S","92 W","6","GARFIELD                           ",259960,"",300,"1/6/2005 0:00:00","WATER","",71379375,"UnSpecified-Older data may not contain method info","TOLUENE",240,"","ug/L","",2
"110",474295,704221,"Domestic Well",273755,4372314,39.47,-107.63,"SWNE",2,"7 S","92 W","6","GARFIELD                           ",259960,"",300,"1/6/2005 0:00:00","WATER","",71570480,"UnSpecified-Older data may not contain method info","TOLUENE",190,"","ug/L","",5
"111",474296,704221,"Domestic Well",273755,4372314,39.47,-107.63,"SWNE",2,"7 S","92 W","6","GARFIELD                           ",259960,"",300,"1/6/2005 0:00:00","WATER","",71570510,"UnSpecified-Older data may not contain method info","TOLUENE",240,"","ug/L","",0.5
"112",474297,704221,"Domestic Well",273755,4372314,39.47,-107.63,"SWNE",2,"7 S","92 W","6","GARFIELD                           ",259960,"",300,"1/19/2005 0:00:00","WATER","",71570516,"UnSpecified-Older data may not contain method info","TOLUENE",260,"","ug/L","",2
"113",474302,704221,"Domestic Well",273755,4372314,39.47,-107.63,"SWNE",2,"7 S","92 W","6","GARFIELD                           ",259960,"",300,"4/14/2005 0:00:00","WATER","",71694769,"UnSpecified-Older data may not contain method info","TOLUENE",4.9,"","ug/L","",2
"114",474304,704221,"Domestic Well",273755,4372314,39.47,-107.63,"SWNE",2,"7 S","92 W","6","GARFIELD                           ",259960,"",300,"4/28/2005 0:00:00","WATER","",71771913,"UnSpecified-Older data may not contain method info","TOLUENE",15,"","ug/L","",2
"115",474308,704221,"Domestic Well",273755,4372314,39.47,-107.63,"SWNE",2,"7 S","92 W","6","GARFIELD                           ",259960,"",300,"6/7/2005 0:00:00","WATER","",71570595,"UnSpecified-Older data may not contain method info","TOLUENE",3.2,"","ug/L","",2
"116",474312,704221,"Domestic Well",273755,4372314,39.47,-107.63,"SWNE",2,"7 S","92 W","6","GARFIELD                           ",259960,"",300,"8/4/2005 0:00:00","WATER","",71677783,"UnSpecified-Older data may not contain method info","TOLUENE",11,"","ug/L","",2
