"","SampleID","FacilityID","UtmX83","UtmY83","Sample.Date","Matrix","METHANE","ETHANE","PROPANE","DELTA 13C C1","fraction_c13c1"
"116",468922,706252,255144,4110549,"3/4/2009 0:00:00","GAS",171.2,0.1,0,-18.93,1712
"117",468957,706257,268698,4130449,"1/31/2006 0:00:00","GAS",410.4,0.1,0,-56.84,4104
"118",468961,706257,268698,4130449,"11/7/2006 0:00:00","GAS",644.2,0.2,0,-56.59,3221
"119",468970,706261,258450,4110300,"8/17/2005 0:00:00","GAS",772.4,2.4,0.4,-69.8,275.857142857143
"120",468977,706261,258450,4110300,"7/13/2009 0:00:00","GAS",815.2,2.2,0.4,-68.87,313.538461538461
"121",469026,706277,264837,4122374,"6/21/2005 0:00:00","GAS",146.5,0.043,0,-59.7,3406.97674418605
"122",469038,706280,251836,4111519,"10/31/2006 0:00:00","GAS",872.4,11,0.6,-39.96,75.2068965517241
"123",469036,706280,251836,4111519,"6/22/2006 0:00:00","GAS",722.3,7.2,0.4,-40.54,95.0394736842105
"124",469081,706291,260785,4121753,"4/12/2006 0:00:00","GAS",354.3,0.1,0,-76.61,3543
"125",469079,706291,260785,4121753,"6/30/2005 0:00:00","GAS",301.5,0.1,0,-76.46,3015
"126",469179,706320,263055,4113019,"8/9/2005 0:00:00","GAS",204.9,0.1,0,-55.04,2049
"127",469181,706320,263055,4113019,"5/3/2006 0:00:00","GAS",368.9,0.036,0,-52.34,10247.2222222222
"128",469183,706320,263055,4113019,"5/11/2006 0:00:00","GAS",368.9,0.036,0,-52.34,10247.2222222222
"129",469197,706326,266655,4107239,"9/14/2006 0:00:00","GAS",237.2,1,0,-65.67,237.2
"130",469258,706348,267449,4128935,"11/10/2005 0:00:00","GAS",262.6,0.048,0,-54.3,5470.83333333333
"131",469358,706390,273564,4121610,"2/7/2006 0:00:00","GAS",262.1,0.049,0,-76.93,5348.97959183674
"132",469361,706391,264096,4119463,"5/18/2006 0:00:00","GAS",335.4,0.083,0,-81,4040.96385542169
"133",469366,706392,265036,4120117,"2/7/2006 0:00:00","GAS",363.3,0.1,0,-67.78,3633
"134",469417,706408,262146,4130444,"6/1/2006 0:00:00","GAS",156.5,0.5,0.1,-82.74,260.833333333333
"135",477080,706510,260702,4121608,"4/4/2006 0:00:00","GAS",148.4,0.077,0,-68.61,1927.27272727273
"136",477176,706555,268101,4126902,"3/25/2008 0:00:00","GAS",925.8,0.2,0,-46.32,4629
"137",477171,706555,268101,4126902,"7/12/2006 0:00:00","GAS",907.3,0.3,0,-45.55,3024.33333333333
"138",477174,706555,268101,4126902,"3/20/2007 0:00:00","GAS",886.8,0.3,0,-45.95,2956
"139",477319,706625,263598,4124953,"10/14/2009 0:00:00","GAS",591.4,0.5,0,-51.93,1182.8
"140",477331,706630,266789,4121211,"5/5/2009 0:00:00","GAS",151.7,0.064,0,-55.38,2370.3125
"141",477335,706631,265700,4121293,"7/21/2009 0:00:00","GAS",350.9,0.1,0,-63.81,3509
"142",477467,706706,274374,4099082,"5/7/2009 0:00:00","GAS",692.4,1.9,0,-58.37,364.421052631579
"143",477465,706706,274374,4099082,"1/6/2009 0:00:00","GAS",396.7,1,0,-57.53,396.7
"144",477482,706713,264050,4120329,"4/8/2009 0:00:00","GAS",644.9,0.1,0,-76.19,6449
"145",477491,706718,275353,4121950,"1/27/2009 0:00:00","GAS",493.7,0.4,0,-57.43,1234.25
"146",477493,706719,265183,4122343,"1/13/2009 0:00:00","GAS",310.5,0.1,0,-64.57,3105
"147",477621,706787,262400,4121241,"9/15/2009 0:00:00","GAS",468.6,0.09,0,-73.58,5206.66666666667
"148",477619,706787,262400,4121241,"9/25/2006 0:00:00","GAS",626,0.1,0,-71.57,6260
"149",477679,706819,257234,4128386,"4/16/2009 0:00:00","GAS",179,0.051,0,-68.6,3509.80392156863
"150",477681,706820,257542,4128557,"4/23/2009 0:00:00","GAS",150.2,0.3,0,-41.51,500.666666666667
"151",477683,706821,253306,4109419,"5/19/2009 0:00:00","GAS",895.4,6.4,0.5,-45.09,129.768115942029
"152",477984,707008,271720,4125299,"7/20/2005 0:00:00","GAS",584.3,0.3,0,-42.66,1947.66666666667
"153",477990,707009,273297,4122792,"6/28/2005 0:00:00","GAS",487.7,0.1,0,-60.74,4877
"154",477999,707011,269259,4125129,"4/11/2006 0:00:00","GAS",405.1,0.074,0,-48.93,5474.32432432432
"155",478001,707011,269259,4125129,"2/18/2009 0:00:00","GAS",381.6,0.052,0,-49.03,7338.46153846154
"156",478042,707024,269684,4122016,"6/16/2009 0:00:00","GAS",299.2,0.072,0,-66.38,4155.55555555556
"157",478040,707024,269684,4122016,"9/8/2005 0:00:00","GAS",265.1,0.064,0,-65.34,4142.1875
"158",478078,707036,261866,4119751,"1/24/2006 0:00:00","GAS",524.4,0.2,0,-71.6,2622
"159",469514,707057,272147,4125898,"7/27/2005 0:00:00","GAS",662.8,0.5,0,-42.4,1325.6
"160",469559,707071,261907,4120004,"11/8/2005 0:00:00","GAS",201.6,0.081,0,-68.22,2488.88888888889
"161",469567,707072,268915,4124126,"7/19/2005 0:00:00","GAS",716.6,0.1,0,-56.25,7166
