"","facility_id","facility_type","utm_x83","utm_y83","permit_number","receipt_number","well_depth","wattenberg","btex_sampled","ch4_sampled","btex_detected","ch4_detected","methane","ethane","propane","fraction","delta_13c_c1","origin"
"61","703209","Domestic Well",512762,4434927,"173897",NA,652,TRUE,TRUE,TRUE,FALSE,FALSE,44.67,0.05,1e-04,891.616766467066,-72.94,"Microbial"
"62","703213","Domestic Well",498660,4434429,"20329",NA,595,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"63","703214","Domestic Well",498989,4434380,"61760",NA,545,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"64","703215","Domestic Well",512074,4433165,"173127",NA,625,TRUE,TRUE,TRUE,FALSE,FALSE,46.27,0.04,6e-04,1139.65517241379,-71.69,"Microbial"
"65","703216","Domestic Well",520765,4454657,"202164",NA,430,TRUE,TRUE,TRUE,FALSE,FALSE,83.87,7.55,2.31,8.50608519269777,-47.1,"Thermogenic"
"66","703229","Domestic Well",524266,4438826,"222071",NA,738,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"67","703246","Domestic Well",531317,4472069,"208899","3631340",60,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"68","703247","Domestic Well",515253,4438714,"187790",NA,660,TRUE,TRUE,TRUE,FALSE,FALSE,63.72,10.97,2.11,4.87155963302752,-45.44,"Thermogenic"
"69","703278","Domestic Well",508191,4432761,"175612","0362081",724,TRUE,TRUE,TRUE,FALSE,TRUE,57.32,3.22,1.6,11.8921161825726,-60.2,"Mixed"
"70","703281","Domestic Well",525866,4458243,"6590","0280627",240,TRUE,TRUE,TRUE,FALSE,TRUE,27.15,2.95,0.52,7.82420749279539,-44.56,"Thermogenic"
"71","703282","Domestic Well",509208,4433732,"214678",NA,700,TRUE,TRUE,TRUE,FALSE,FALSE,76.64,4.8,3.06,9.75063613231552,-56.62,"Mixed"
"72","703548","Domestic Well",518630,4434515,"220547","0450998",NA,TRUE,TRUE,TRUE,TRUE,TRUE,46.41,0.07,NA,NA,-70.29,"Mixed"
"73","703550","Domestic Well",509603,4433781,"212870","0434292",700,TRUE,TRUE,TRUE,FALSE,TRUE,NA,NA,NA,NA,-70.35,"Mixed"
"74","703551","Domestic Well",509630,4434154,"185114","0379527",680,TRUE,TRUE,TRUE,FALSE,TRUE,29.76,0.03,NA,NA,-69.35,"Mixed"
"75","703697","Domestic Well",519447,4436766,"230143","0467674",743,TRUE,TRUE,TRUE,FALSE,TRUE,70.68,16.32,6.43,3.10681318681319,-48.44,"Thermogenic"
"76","703698","Domestic Well",519582,4436877,"35966","9063815",748,TRUE,TRUE,TRUE,TRUE,TRUE,49.43,0.05,0,988.6,-73.49,"Microbial"
"77","703802","Groundwater",530838,4427023,"53140","0453790B",1320,TRUE,FALSE,TRUE,FALSE,TRUE,63.07,0.05,NA,NA,-72.09,"Mixed"
"78","703862","Domestic Well",511461,4431481,"87773","9065845",300,TRUE,TRUE,TRUE,FALSE,TRUE,66.29,0.06,2e-04,1101.16279069767,-70.81,"Microbial"
"79","703873","Domestic Well",505492,4423577,"127601",NA,400,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"80","703874","Domestic Well",533086,4452512,"217420","0518333",380,TRUE,TRUE,TRUE,FALSE,TRUE,57.75,0.06,0.005,888.461538461538,-73.5,"Microbial"
"81","703881","Domestic Well",509314,4434112,"214568",NA,680,TRUE,TRUE,TRUE,FALSE,FALSE,27.53,0.02,NA,NA,-72.02,"Mixed"
"82","703884","Domestic Well",517687,4483430,"226872","04600057",675,TRUE,TRUE,TRUE,TRUE,TRUE,10.94,0.08,NA,NA,-39.64,"Mixed"
"83","704130","Domestic Well",505276,4447552,"265213","0542655",35,TRUE,TRUE,TRUE,FALSE,TRUE,72.17,13.96,6.33,3.55692459339576,-48.15,"Thermogenic"
"84","704171","Domestic Well",502301,4421702,"97796",NA,345,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"85","704172","Domestic Well",502341,4422226,"93689",NA,396,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"86","704173","Domestic Well",502316,4422091,"94043",NA,345,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"87","704174","Domestic Well",502502,4421637,"156126",NA,350,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"88","704199","Domestic Well",502316,4422025,"92951",NA,350,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"89","704359","Domestic Well",532239,4452645,"252959","0536997",340,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"90","704360","Domestic Well",544687,4482190,"260927",NA,300,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"91","704550","Domestic Well",537668,4489748,"256978",NA,420,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"92","704584","Domestic Well",499046,4424249,"160124",NA,860,TRUE,TRUE,TRUE,FALSE,FALSE,71.56,0.06,NA,NA,-71.68,"Mixed"
"93","704597","Domestic Well",521049,4452663,"258457","0525972",465,TRUE,TRUE,TRUE,TRUE,TRUE,80.45,6.29,2.42,9.23650975889782,-50.98,"Thermogenic"
"94","704603","Domestic Well",530301,4488651,"974",NA,330,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"95","704612","Domestic Well",514505,4447816,"262907","0537649",360,TRUE,TRUE,TRUE,TRUE,TRUE,50.65,0.07,1e-04,722.539229671897,-71.21,"Microbial"
"96","704628","Domestic Well",532162,4452726,"252959","0536997",340,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"97","704661","Domestic Well",541654,4488247,"263163","0537241",400,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"98","704666","Domestic Well",508025,4432734,"119597",NA,600,TRUE,TRUE,TRUE,FALSE,FALSE,62.97,6.03,2.64,7.26297577854671,-56.3,"Mixed"
"99","704667","Domestic Well",508006,4433404,"245251",NA,680,TRUE,TRUE,TRUE,FALSE,FALSE,25.08,0.05,0.0041,463.58595194085,-75.46,"Microbial"
"100","704668","Domestic Well",508220,4433282,"175417",NA,682,TRUE,TRUE,TRUE,FALSE,FALSE,9.53,0.01,NA,NA,-64.16,"Mixed"
"101","704669","Domestic Well",508128,4433358,"239547",NA,680,TRUE,TRUE,TRUE,FALSE,FALSE,27.23,0.03,NA,NA,-74.23,"Mixed"
"102","704670","Domestic Well",508139,4432569,"131570",NA,715,TRUE,TRUE,TRUE,FALSE,FALSE,44.22,0.04,NA,NA,-72.1,"Mixed"
"103","704673","Domestic Well",503701,4432977,"222779",NA,650,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"104","704679","Domestic Well",508253,4422215,"14448",NA,1200,TRUE,TRUE,TRUE,FALSE,FALSE,54.65,0.38,0.29,81.5671641791045,-68.49,"Mixed"
"105","704680","Domestic Well",512839,4443442,"146058","0267068",510,TRUE,TRUE,TRUE,FALSE,TRUE,46.42,0.05,1e-04,926.546906187625,-72.55,"Microbial"
"106","704700","Ground Water",537393,4419243,"269807","3606398",520,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"107","704702","Groundwater",533585,4422511,"211831",NA,774,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"108","704708","Domestic Well",540041,4466764,"17816",NA,25,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"109","704769","Ground Water",538528,4419631,"244247",NA,400,TRUE,TRUE,TRUE,FALSE,FALSE,67.19,14.84,5.23,3.34778276033881,-49.11,"Thermogenic"
"110","704771","Domestic Well",528353,4429980,"212559","0034346",298,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"111","704786","Irrigation",531412,4460874,"124731",NA,120,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"112","704787","Domestic Well",511936,4446253,"156929",NA,390,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"113","704788","Domestic Well",517321,4450368,"252360",NA,400,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"114","704790","Domestic Well",543344,4483170,"150963",NA,185,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"115","704819","Domestic Well",525406,4448416,"57646",NA,20,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"116","704996","Domestic Well",537085,4455306,"242685",NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"117","705002","Domestic Well",532368,4473538,"30883",NA,33,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"118","705011","Irrigation",526622,4436847,"237964","0484045",67,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"119","705012","Irrigation",526819,4437737,"46390",NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"120","705013","Irrigation",526815,4438136,"98126","0033088",70,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"121","705014","Irrigation",530930,4487702,"262719","0536372A",50,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"122","705016","Domestic Well",517140,4455116,"18151","0424206",320,TRUE,TRUE,TRUE,FALSE,TRUE,66.74,4.09,1.88,11.179229480737,-51.07,"Thermogenic"
"123","705017","Domestic Well",509730,4452721,"42689",NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"124","705018","Domestic Well",520881,4455046,"227143","0462557",0,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"125","705019","Domestic Well",523953,4451683,"261122","0532352",480,TRUE,FALSE,TRUE,FALSE,TRUE,15.9,0.03,NA,NA,-74.47,"Mixed"
"126","705022","Domestic Well",514470,4448116,"218438",NA,200,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"127","705023","Domestic Well",516027,4463347,"220638",NA,69,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"128","705024","Domestic Well",514457,4453629,"119002",NA,38,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"129","705025","Domestic Well",501531,4443191,"57210",NA,80,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"130","705027","Domestic Well",520978,4462326,"12736",NA,70,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"131","705033","Ground Water",540602,4421430,"111496","0112517",420,TRUE,TRUE,TRUE,FALSE,TRUE,56.26,0.03,0,1875.33333333333,-78.66,"Microbial"
"132","705052","Ground Water",527993,4454648,"116082",NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"133","705053","Domestic Well",518524,4456636,"212163",NA,250,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"134","705054","Irrigation",525841,4456804,"129608",NA,300,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"135","705056","Domestic Well",515898,4455688,"183874","0371979B",50,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"136","705057","Ground Water",532116,4454419,"168780",NA,290,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"137","705058","Domestic Well",527327,4460081,"82863",NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"138","705064","Domestic Well",522241,4451926,"176702","0362412",378,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA
