"","OBJECTID","facility_id","facility_type","permit_number","receipt_number","ch4_sampled","btex_sampled","nearest_og","nearest_scp","nearest_cscp","btex_detected","ch4_detected"
"1052",1215,"754482","Domestic Well","68897","3644166","yes","yes",234.00854685246,1104.72615180721,2781.86879843637,"btex not detected","ch4 detected"
"1053",1216,"754483","Domestic Well","48617","0408131","yes","yes",137.568164921976,1554.09707908828,1554.09707908828,"btex not detected","ch4 detected"
"1054",1217,"754490","Stock or  Irrigation","300","9058423","yes","yes",286.623446354272,316.677049354824,4095.23686317857,"btex not detected","ch4 not detected"
"1055",1218,"754498","Ground Water","77720","0057545","yes","yes",222.925996689484,962.116006893373,1084.7956916574,"btex not detected","ch4 not detected"
"1056",1219,"754499","Domestic Well","74895","9065369","yes","yes",303.461694452529,1344.73823196653,1344.73823196653,"btex not detected","ch4 detected"
"1057",1220,"754500","Domestic Well","90574","0543198","yes","yes",220.047722096822,604.164047630804,1331.16450639632,"btex not detected","ch4 detected"
"1058",1221,"754501","Domestic Well","208259","0425246","yes","yes",321.73436247936,709.798890935285,1268.63455561258,"btex not detected","ch4 detected"
"1059",1222,"754506","Groundwater","300414","3673597","yes","yes",178.193714816208,1526.42317867287,2068.02626751983,"btex detected","ch4 detected"
"1060",1223,"754518","Domestic Well","295116","3665697","yes","yes",190.918830920368,242.91320371482,1026.81907683056,"btex not detected","ch4 detected"
"1061",1224,"754526","Ground Water","81431","9065621","yes","yes",479.076194357432,2105.13783465022,4698.7693778772,"btex not detected","ch4 not detected"
"1062",1225,"754527","Domestic Well","67088","9065100","yes","yes",503.230563459733,640.444179931284,640.444179931284,"btex not detected","ch4 detected"
"1063",1226,"754550","Ground Water","67940","3635509","yes","yes",525.223761838704,668.515586288029,4645.25070347725,"btex not detected","ch4 not detected"
"1064",1227,"754563","Ground Water","302431","3675354A","yes","yes",12.0830459735946,13.2625021096293,13.2625021096293,"btex not detected","ch4 detected"
"1065",1228,"754564","Ground Water","302432","3675354B","yes","yes",61.057350089895,62.2777639582621,62.2777639582621,"btex not detected","ch4 detected"
"1066",1229,"754565","Ground Water","302433","3675354C","yes","yes",65.0307619515564,64.1814232536278,64.1814232536278,"btex not detected","ch4 detected"
"1067",1230,"754567","Stock or  Irrigation","120214","9066337","yes","yes",98.8382517044894,395.919747297691,2041.3241526156,"btex not detected","ch4 not detected"
