facility_id,facility_type,utm_x83,utm_y83,well_depth,matrix,sample_id,sample_date,btex_above_mcl,benzene_ugl,toluene_ugl,ethylbenzene_ugl,mp_xylenes_ugl,o_xylene_ugl,tot_xylenes_ugl,methane_mgl,ethane_mgl,propane_mgl,butane_mgl,isobutane_mgl,pentane_mgl,hexanes_mgl,sum_btex,sum_alk_2-6,sum_alk_3-6,sum_alk_4-6,detected_btex,detected_ch4,detected_ethane_26,detected_propane_36,detected_butane_46,sampled_for_btex,sampled_for_ch4,sampled_for_alkanes,wattenberg,methane,ethane,propane,delta_13c_c1,fraction,origin,aquifer,notes,more_information,permit_number,receipt_number
700018,Domestic Well,515919,4450104,361,WATER,543470,2015-05-07,FALSE,0,0,0,0,0,0,5.46,0.05,0.01,0,0,0,0,0,0.060000000000000005,0.01,0,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,45.32,0.14,0.02,-69.78,283.25,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,545597,2015-09-01,FALSE,0,0,0,0,0,0,12,0.06,0.01,0,0,0,0,0,0.06999999999999999,0.01,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,43.52,0.11,0.01,-69.14,362.6666666666667,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,545599,2015-09-01,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,43.52,0.11,0.01,-69.14,362.6666666666667,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,545599,2015-09-01,FALSE,0,0,0,0,0,0,5.83,0.03,0.0077,0,0,0,0,0,0.0377,0.0077,0,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,43.52,0.11,0.01,-69.14,362.6666666666667,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,546720,2015-11-04,FALSE,0,0,0,0,0,0,11,0.08,0.02,0,0,0,0,0,0.1,0.02,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,42.39,0.15,0.02,-69.34,249.3529411764706,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,546722,2015-11-04,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,42.39,0.15,0.02,-69.34,249.3529411764706,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,546722,2015-11-04,FALSE,0,0,0,0,0,0,4.84,0.04,0.01,0,0,0,0,0,0.05,0.01,0,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,42.39,0.15,0.02,-69.34,249.3529411764706,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,547892,2016-01-04,FALSE,0,0,0,0,0,0,12,0.07,0.01,0,0,0,0,0,0.08,0.01,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,42.53,0.12,0.01,-69.77,327.15384615384613,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,547894,2016-01-04,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,42.53,0.12,0.01,-69.77,327.15384615384613,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,547894,2016-01-04,FALSE,0,0,0,0,0,0,5.97,0.04,0.0096,0,0,0,0,0,0.0496,0.0096,0,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,42.53,0.12,0.01,-69.77,327.15384615384613,microbial,NA,NA,NA,18396,9062513
